Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att2,Launch%3,AvgLen4,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Pkatt,PKsv,PKm,Save%2,Gls,Ast,G+A,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9
Mathieu Gorgelin,FRA,GK,Le Havre,Ligue 1,32,1990,1,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50,32.5,12,0,0,1,1,14.5,1,1,90,2,5,3,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens Grahl,GER,GK,Eint Frankfurt,Bundesliga,34,1988,2,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2,15.7,2,2,180,1,9,7,77.8,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.5,0.5,0,0.5,0,0.12,0.12,0,0.12
Ivo Grbić,CRO,GK,Sheffield Utd,Premier League,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,9,9,771,2.92,59,36,57.6,0,3,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Greif,SVK,GK,Mallorca,La Liga,26,1997,1,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42,9,66.7,54.2,12,0,0,1,1,23,1,1,90,0,4,4,100,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,27,26,2403,1.46,120,83,70.8,8,7,11,6,23.1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,33,1990,13,9,0,1,1,1,10.3,0.25,2.3,0.17,22,79,27.8,373,58,12.9,25.1,97,32,32.2,175,7,4,14,1.08,14.5,13,13,1170,0.69,41,33,78,9,4,0,5,38.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dean Henderson,ENG,GK,Crystal Palace,Premier League,26,1997,18,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47,246,5,2,17,0.94,13.8,18,18,1620,1.67,86,57,66.3,8,4,6,4,22.2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Herrera,ESP,GK,Osasuna,La Liga,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,32,32,2869,1.47,132,84,64.4,12,7,13,9,28.1,1,1,0,100,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,33,1989,33,24,0,0,4,0,27.5,0.27,3.5,0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5,33,33,2970,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sam Johnstone,ENG,GK,Crystal Palace,Premier League,30,1993,20,27,2,0,4,1,20,0.27,-6,-0.3,117,355,33,453,63,55,41.2,141,75.2,52.8,339,24,7.1,12,0.6,11.2,20,20,1796,1.35,67,41,62.7,5,6,9,6,30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Jørgensen,DEN,GK,Villarreal,La Liga,21,2002,36,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1,13.4,36,36,3240,1.75,205,143,72.2,13,10,13,6,16.7,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Kaminski,BEL,GK,Luton Town,Premier League,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52,39.5,341,66,47.5,558,16,2.9,76,2.01,20.5,38,38,3405,2.25,221,140,63.3,6,8,24,2,5.3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,GER,GK,Newcastle Utd,Premier League,30,1993,1,4,0,0,1,1,2,0.29,-1,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10,3,3,19.5,1,1,90,4,7,4,42.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,24,1998,10,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17,10,10,900,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,25,1997,26.3,34,5,0,9,1,36.8,0.28,3.8,0.14,106,268,39.6,1006,106,19.6,28.1,165,43,38.5,359,7,1.9,17,0.65,12.5,27,27,2365,1.29,118,84,75.4,14,8,5,7,25.9,6,1,0,16.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Köhn,SUI,GK,Monaco,Ligue 1,25,1998,22,32,5,1,6,1,32,0.27,1,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3,22,22,1980,1.45,97,65,72.2,11,5,6,5,22.7,6,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,3,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6,3,3,270,2.67,25,17,68,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matej Kovar,CZE,GK,Leverkusen,Bundesliga,23,2000,1,0,0,0,0,0,0.4,0.15,0.4,0.44,0,0,0,17,6,0,22.1,0,0,0,3,1,33.3,1,1,15,1,1,90,0,3,3,100,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alban Lafont,FRA,GK,Nantes,Ligue 1,24,1999,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34,166,60.8,46.9,385,33,8.6,33,1.19,13,28,28,2496,1.55,118,75,70.3,7,4,17,7,25,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Nicola Leali,ITA,GK,Genoa,Serie A,30,1993,2,2,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50,40.6,27,2,7.4,1,0.51,15.2,3,2,176,1.02,9,7,77.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,37,1985,1,2,0,0,0,0,1,0.49,-1,-1.03,1,10,10,22,5,31.8,29,4,75,60.5,8,0,0,0,0,9.8,1,1,90,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,32,1991,30,37,4,2,3,3,36.8,0.24,2.8,0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5,30,30,2700,1.23,137,102,75.9,9,11,10,10,33.3,5,1,0,20,0,1,1,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0.03,0.03,0,0.03,0,0.02,0.02,0,0.02
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44,284,85.6,62.1,526,53,10.1,45,1.33,12.9,34,34,3048,1.39,151,104,70.2,6,12,16,9,26.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,GER,GK,Fulham,Premier League,31,1992,38,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4,40,1.05,14.2,38,38,3420,1.61,190,133,72.1,13,8,17,10,26.3,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Lopes,POR,GK,Lyon,Ligue 1,32,1990,31,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.9,12.4,31,31,2790,1.58,155,106,71,16,4,11,9,29,6,1,1,20,0,0,0,0,0,0,0,0,0,0.3,0.3,1,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Pau López,ESP,GK,Marseille,Ligue 1,28,1994,32.7,39,3,1,7,1,32.6,0.24,-5.4,-0.17,93,325,28.6,1044,113,24.8,29.4,149,44.3,37.3,406,15,3.7,25,0.77,13.9,33,33,2939,1.19,124,86,71,13,11,9,7,21.2,3,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,1999,21,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2,21,21,1890,0.81,65,48,75.4,16,5,0,10,47.6,1,0,0,0,0,0,0,0,0,2,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Andreas Luthe,GER,GK,Bochum,Bundesliga,36,1987,1,4,0,0,0,1,2.7,0.68,-0.3,-0.3,20,43,46.5,42,2,85.7,51.3,7,100,61.1,13,0,0,0,0,7.7,1,1,90,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Maignan,FRA,GK,Milan,Serie A,28,1995,29,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38,339,37,10.9,36,1.24,15.2,29,29,2609,1.17,120,86,77.5,19,5,5,10,34.5,7,0,0,0,0,1,1,0,0,1,1,0,0,0.3,0.3,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
Radosław Majecki,POL,GK,Monaco,Ligue 1,23,1999,12,10,0,0,0,1,14.7,0.29,5.7,0.47,39,121,32.2,296,68,31.1,32,80,36.3,33.4,160,13,8.1,7,0.58,11,12,12,1080,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3,37,37,3284,1.12,145,103,73.8,13,10,14,13,35.1,6,3,0,50,0,0,0,0,0,3,1,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Steve Mandanda,FRA,GK,Rennes,Ligue 1,38,1985,34,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8,37,1.09,15.1,34,34,3060,1.35,147,104,70.7,12,10,12,7,20.6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Christos Mandas,GRE,GK,Lazio,Serie A,21,2001,8,6,0,0,2,0,7,0.25,1,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1,9,8,721,0.75,29,23,79.3,6,1,1,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vito Mannone,ITA,GK,Lille,Ligue 1,35,1988,1,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100,61,11,2,18.2,4,3.96,15,2,1,91,1.98,5,3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Mariño,ESP,GK,Almería,La Liga,33,1990,1,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20,25,6,20,24.1,2,0,16.5,6,0,0,2,2,22.7,1,1,90,2,4,2,100,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unai Marrero,ESP,GK,Real Sociedad,La Liga,21,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40,37,5,45.9,37,8,100,63.4,27,1,3.7,4,2.54,20.1,2,1,142,1.9,5,2,60,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommaso Martinelli,ITA,GK,Fiorentina,Serie A,17,2006,1,2,0,0,0,0,1.4,0.45,-0.6,-0.65,4,15,26.7,40,3,30,32.3,9,33.3,32,14,0,0,0,0,11,1,1,90,2,3,1,33.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,30,1992,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,34,34,3015,1.43,139,95,66.2,19,8,7,8,23.5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Josep Martinez,ESP,GK,Genoa,Serie A,25,1998,36,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,580,45,7.8,40,1.11,12.2,36,36,3239,1.19,130,87,69.2,11,13,12,8,22.2,4,1,0,25,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Marc Martínez,ESP,GK,Granada,La Liga,33,1990,3,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0,10,3.33,23,3,3,270,3.67,23,12,60.9,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luís Maximiano,POR,GK,Almería,La Liga,24,1999,33,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61,46.3,551,25,4.5,38,1.15,14.5,33,33,2970,1.91,175,111,66.3,2,11,20,6,18.2,7,1,2,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Meret,ITA,GK,Napoli,Serie A,26,1997,30.8,40,2,1,5,0,38,0.33,-2,-0.07,56,174,32.2,774,120,18.5,27.9,137,22.6,29.5,334,9,2.7,29,0.94,15.4,31,31,2773,1.3,104,62,63.5,10,13,8,5,16.1,4,2,0,50,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Meyer,GER,GK,Dortmund,Bundesliga,32,1991,7.7,9,0,0,0,1,7.8,0.3,-0.2,-0.03,27,81,33.3,334,29,20.1,28.3,31,45.2,42.1,107,8,7.5,7,0.91,14.5,8,7,695,1.17,27,19,66.7,4,1,2,3,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,26,1997,36,31,6,0,4,0,33.8,0.21,2.8,0.08,264,783,33.7,1288,171,44.8,38.3,239,86.2,66.6,407,38,9.3,37,1.03,13.6,36,36,3240,0.86,134,103,81.3,13,14,9,18,50,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Mirante,ITA,GK,Milan,Serie A,40,1983,2,3,0,0,1,0,3.1,0.41,0.1,0.05,5,14,35.7,46,5,26.1,29.2,8,25,29.4,17,1,5.9,1,0.51,11.9,2,2,177,1.53,8,5,62.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,27,1996,37,49,2,0,6,1,40.7,0.26,-7.3,-0.2,323,763,42.3,960,109,54.5,41.1,305,78.7,56.4,487,22,4.5,43,1.16,15.3,37,37,3330,1.32,153,105,69.3,9,10,18,8,21.6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0
Kevin Müller,GER,GK,Heidenheim,Bundesliga,32,1991,34,55,7,0,7,3,53.6,0.27,1.6,0.05,249,595,41.8,1164,167,35.2,35.9,316,58.5,46.1,495,24,4.8,17,0.5,13.2,34,34,3060,1.62,174,121,72.4,10,12,12,6,17.6,10,1,2,12.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arijanet Muric,KVX,GK,Burnley,Premier League,24,1998,10,16,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14,31,3.1,17.2,10,10,900,1.6,78,62,80.8,2,4,4,0,0,2,1,0,50,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Juan Musso,ARG,GK,Atalanta,Serie A,29,1994,11,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7,11,11,990,1.09,34,23,70.6,6,1,4,6,54.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yvon Mvogo,SUI,GK,Lorient,Ligue 1,29,1994,34,66,8,1,8,1,63.1,0.27,-1.9,-0.06,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,591,24,4.1,13,0.38,8.9,34,34,3060,1.94,207,142,72,7,8,19,4,11.8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,36,1986,4,6,1,0,0,0,4.7,0.31,-1.3,-0.33,4,9,44.4,80,12,10,23.5,18,5.6,22.2,37,0,0,5,1.25,16.3,4,4,360,1.5,12,6,58.3,2,2,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massamba Ndiaye,SEN,GK,Clermont Foot,Ligue 1,21,2001,4,6,1,0,1,0,7.8,0.29,1.8,0.45,20,55,36.4,148,28,29.7,30.9,24,45.8,35.1,75,7,9.3,3,0.75,10.1,4,4,360,1.5,24,18,79.2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neto,BRA,GK,Bournemouth,Premier League,34,1989,32,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57,44.2,413,26,6.3,34,1.06,13.7,32,32,2880,1.72,165,110,69.7,10,9,13,7,21.9,6,1,0,16.7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,37,1986,22.8,33,2,1,1,0,29.1,0.29,-3.9,-0.17,73,159,45.9,779,110,18.6,27.7,97,14.4,26,231,9,3.9,32,1.4,17.5,23,23,2053,1.45,93,59,66.7,16,1,6,6,26.1,3,1,0,33.3,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Moritz Nicolas,GER,GK,Gladbach,Bundesliga,25,1997,27,49,4,0,6,0,45.1,0.26,-3.9,-0.14,112,315,35.6,888,140,26,29.7,161,52.2,42.5,460,21,4.6,22,0.81,13.2,27,27,2430,1.81,160,111,71.9,6,11,10,4,14.8,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,26,1996,30,36,3,0,5,3,30.8,0.27,-2.2,-0.07,126,291,43.3,1103,132,23.1,28.7,112,32.1,32.7,341,30,8.8,57,1.9,17.3,30,30,2700,1.2,107,74,69.2,20,3,7,11,36.7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ørjan Nyland,NOR,GK,Sevilla,La Liga,32,1990,24,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5,24,24,2160,1.13,104,78,76.9,8,9,7,6,25,3,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0,0,1,0,0,0,0,0,0,0.02,0.02,0,0.02
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30,1993,38,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8,38,38,3420,1.13,144,101,70.8,24,4,10,13,34.2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Ochoa,MEX,GK,Salernitana,Serie A,38,1985,21,44,7,0,3,1,37.2,0.27,-5.8,-0.28,85,323,26.3,479,73,46.3,37.5,171,59.1,44.4,342,9,2.6,11,0.52,13.6,21,21,1890,2.1,115,72,67.8,0,6,15,1,4.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maduka Okoye,NGA,GK,Udinese,Serie A,23,1999,21,25,3,2,3,1,23.9,0.24,-0.1,0,99,263,37.6,286,45,55.9,41.7,161,64,49,365,7,1.9,2,0.1,8.7,21,21,1890,1.19,89,65,75.3,5,8,8,5,23.8,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Olsen,SWE,GK,Aston Villa,Premier League,33,1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13,1,0.22,8.4,5,4,405,2.89,34,20,61.8,1,0,3,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Omlin,SUI,GK,Gladbach,Bundesliga,29,1994,7,18,2,0,1,0,13.3,0.24,-4.7,-0.67,32,90,35.6,242,37,30.2,32.3,34,50,41.8,78,7,9,12,1.71,15.3,7,7,630,2.57,47,29,66,1,2,4,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0.4,0.4,0,0,0,0,0.14,0.14,0,0.14,0,0.05,0.05,0,0.05
André Onana,CMR,GK,Manchester Utd,Premier League,27,1996,38,58,7,1,11,1,59.7,0.27,2.7,0.07,149,513,29,1351,140,31,31.2,162,58,44.6,601,42,7,37,0.97,12.9,38,38,3420,1.53,203,146,74.9,18,6,14,9,23.7,7,0,0,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0
Stefan Ortega,GER,GK,Manchester City,Premier League,30,1992,7.1,7,0,0,1,0,9,0.33,2,0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8,9,5,635,0.99,27,20,74.1,4,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,35,1988,33.2,57,6,1,7,0,52.3,0.26,-4.7,-0.14,209,666,31.4,708,125,57.3,42.4,292,89,59,569,46,8.1,22,0.66,10.3,34,34,2987,1.72,185,128,72.4,8,5,21,6,17.6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Jesús Owono,EQG,GK,Alavés,La Liga,22,2001,4,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2,15.2,4,4,360,2,24,16,66.7,1,2,1,1,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
